cpd_HYL,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[TH_CA3]up--(Nptx2_Nptxr.csv),0.912533634,0.942053814,0.977087881,0.896755076,0.883816326,0.884370531,0.916102877
V-VIa-VIb_II-III-IV,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Abca1.csv),0.747668198,0.820699051,0.81344942,0.769633428,0.788929859,0.793329012,0.788951495
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Ldlr.csv),0.724259307,0.827170575,0.783042675,0.775225477,0.812692134,0.780660447,0.783841769
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Lrp1.csv),0.683487242,0.779560758,0.776683601,0.732778568,0.729526052,0.723411038,0.737574543
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Lrp2.csv),1.104849214,1.054130982,1.047674414,1.096109204,1.0813595,1.09732724,1.080241759
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Lrp5.csv),1.045153771,0.976321611,1.005605435,1.04345871,1.01405754,1.019821129,1.017403033
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Lrp6.csv),0.774339112,0.858782289,0.846660565,0.777053636,0.815752643,0.790085882,0.810445688
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Lrp8.csv),0.731488146,0.83343377,0.824229445,0.767350812,0.814975087,0.790454142,0.793655234
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Scarb1.csv),0.819349763,0.899392908,0.86021104,0.837863088,0.845052528,0.854228823,0.852683025
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Sdc1.csv),1.054941777,1.018996247,1.005559281,1.034047692,1.022752135,1.01972674,1.026003979
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Sdc4.csv),0.633765131,0.701245876,0.696832286,0.672425139,0.670811439,0.695035108,0.678352496
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Trem2.csv),0.732037447,0.832733026,0.813389703,0.787401197,0.785049288,0.776193099,0.787800627
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Apoe_Vldlr.csv),0.73094586,0.811767151,0.81059158,0.743233678,0.787778882,0.774523954,0.776473517
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Nov_Notch1.csv),1.0193218,0.975182865,1.012003384,1.015943635,1.053866696,0.987455116,1.010628916
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Nptxr_Nptx1.csv),1.207795853,1.203589398,1.172768725,1.19932467,1.230748722,1.207921244,1.203691435
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Nptxr_Nptx2.csv),1.228687378,1.236750607,1.238477762,1.213381976,1.255074252,1.182313603,1.22578093
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Ptn_Alk.csv),1,1,1,1,1,1,1
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Ptn_Nrp1.csv),0.981606743,1.042345036,1.033512867,0.979906526,1.00361588,1.018073254,1.009843384
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Ptn_Ptprb.csv),1.052664765,1.051500959,1.0757283,1.073786082,1.071441079,1.097045993,1.070361196
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Ptn_Ptprz1 .csv),1,1,1,1,1,1,1
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Ptn_Sdc1.csv),0.971626415,0.978419864,0.962663437,0.984219925,0.979010101,0.973684359,0.97493735
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Ptn_Sdc4.csv),0.900426983,0.937423892,0.956761582,0.941666635,0.986566368,1.021311429,0.957359481
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Sema3c_Plxnd1.csv),1.110992632,1.062242503,1.120271968,1.085483867,1.042813963,1.087896494,1.084950238
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Sema3e_Plxnd1.csv),1.146223172,1.062188322,1.089546913,1.119537884,1.062677704,1.145882115,1.104342685
IVH_1d-[V-VIa-VIb_II-III-IV]up--(Sema4a_Plxnd1.csv),1.150868432,1.183874465,1.171130421,1.110053614,1.130564119,1.11375126,1.143373719
VL_CA1,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[VL_CA1]up--(Icam5_Itgal.csv),0.987950049,0.969548584,0.940466607,0.934723183,0.929356522,0.946652198,0.951449524
IVH_1d-[VL_CA1]up--(Icam5_Itgb2.csv),1.049915459,1.017185091,1.055417744,1.060893902,1.05196073,1.068486213,1.05064319
VL_CA3,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[VL_CA3]up--(Fyn_Thy1.csv),0.935923044,0.976721103,0.956311631,0.915444336,0.938574002,0.876619317,0.933265572
VL_cpd,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[VL_cpd]up--( Vip_Npr3.csv),1,1,1,1,1,1,1
IVH_1d-[VL_cpd]up--(Lama5_ Bcam.csv),1,1,1,1,1,1,1
IVH_1d-[VL_cpd]up--(Lama5_Itgb4.csv),1.148034495,1.110838634,1.126401104,1.192275387,1.200666172,1.131172342,1.151564689
IVH_1d-[VL_cpd]up--(Lin7c_Htr2c.csv),1.045182212,1.085298208,1.081959379,1.122227092,1.193113382,1.10086738,1.104774609
IVH_1d-[VL_cpd]up--(Nppa_Npr3.csv),0.985535354,0.983406172,0.995053004,0.97734526,0.975648991,0.987924791,0.984152262
IVH_1d-[VL_cpd]up--(Nppb_Npr3.csv),1,0.975505047,1,1,0.967551244,0.975563601,0.986436649
IVH_1d-[VL_cpd]up--(Nppc_Npr3.csv),1.009072021,0.975330941,1.024915825,1.01164953,1.014399718,1.04583101,1.013533174
IVH_1d-[VL_cpd]up--(Ostn_Npr3.csv),0.981697808,0.977700229,0.990509666,0.970456471,0.956898209,0.967568505,0.974138481
IVH_1d-[VL_cpd]up--(Sostdc1_ Lrp6.csv),1,1,1,1,1,1,1
VL_fxs,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[VL_fxs]up--(Col9a3_Mag.csv),1.283031978,1.254890244,1.352610893,1.330588808,1.264571454,1.395102505,1.31346598
IVH_1d-[VL_fxs]up--(Fgf23_Kl.csv),1,1,1,1,1,1,1
IVH_1d-[VL_fxs]up--(Sostdc1_LrP6.csv),1,1,1,1,1,1,1
VL_I,'IVH_1d_110', 'IVH_1d_130', 'IVH_1d_150', 'IVH_1d_20', 'IVH_1d_50', 'IVH_1d_80', 'AVG'
IVH_1d-[VL_I]up--(Fgf23_Kl.csv),1,1,1,1,1,1,1
IVH_1d-[VL_I]up--(Il10_Il10rb.csv),1,1,1,1,1,1,1
IVH_1d-[VL_I]up--(Lep_Lepr.csv),1,1,1,1,1,1,1
IVH_1d-[VL_I]up--(Sostdc1_Lrp6.csv),1.450221469,1.405284136,1.410822662,1.570865356,1.410681878,1.448366004,1.449373584
IVH_1d-[VL_I]up--(Vcn2_Il10rb.csv),1,1,1,1,1,1,1
IVH_1d-[VL_I]up--(Vcn3_Il10rb.csv),1,1,1,1,1,1,1
