CA1_DG,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[I_II-III-IV]up--(App_Cd47.csv),0.831712096,0.718369077,0.854846489,0.838662664,0.713758429,0.791469751, '+'
IVH_3d-[I_II-III-IV]up--(App_Cd74.csv),1.045526354,1.100500489,1.036391619,1.104469513,1.060522667,1.069482128, '++'
IVH_3d-[I_II-III-IV]up--(App_Dcc.csv),1,1,1,1,1,1, '++'
IVH_3d-[I_II-III-IV]up--(App_Drd3.csv),1,1,1,1,1,1, '++'
IVH_3d-[I_II-III-IV]up--(App_Fpr2.csv),1.100448036,1.007636413,1.039667399,0.991830256,1.044406015,1.036797624, '++'
IVH_3d-[I_II-III-IV]up--(App_Gpr3.csv),0.939424728,0.865443383,0.921521208,0.908728324,0.952186055,0.917460739, '+'
IVH_3d-[I_II-III-IV]up--(App_Lrp1.csv),0.844695453,0.791917664,0.8286449,0.872388322,0.741702938,0.815869856, '+'
IVH_3d-[I_II-III-IV]up--(App_Lrp10.csv),0.827591196,0.822721123,0.836389812,0.882100499,0.818096709,0.837379868, '+'
IVH_3d-[I_II-III-IV]up--(App_Lrp2.csv),1.021226113,0.988916104,0.99640553,0.980988402,1.06135137,1.009777504, '++'
IVH_3d-[I_II-III-IV]up--(App_Lrp4.csv),1.046339717,0.994715732,1.03331749,1.053389332,1.040612544,1.033674963, '++'
IVH_3d-[I_II-III-IV]up--(App_Lrp6.csv),0.859253499,0.824299981,0.834645896,0.899268328,0.863926449,0.856278831, '+'
IVH_3d-[I_II-III-IV]up--(App_Lrp8.csv),0.834454377,0.813780305,0.832526885,0.883714518,0.844710826,0.841837382, '+'
IVH_3d-[I_II-III-IV]up--(App_Ncstn.csv),0.845211303,0.752662332,0.830158813,0.845960514,0.748440482,0.804486689, '+'
IVH_3d-[I_II-III-IV]up--(App_Ngfr.csv),0.976096621,1.004013464,0.998658291,0.983942304,1.061633941,1.004868924, '++'
IVH_3d-[I_II-III-IV]up--(App_Notch1.csv),0.942980166,0.945245749,0.888541792,0.93558564,0.920672826,0.926605234, '+'
IVH_3d-[I_II-III-IV]up--(App_Notch2.csv),0.989114828,1.035497835,1.034081346,1.018834498,0.940038742,1.00351345, '++'
IVH_3d-[I_II-III-IV]up--(App_Sorcs1.csv),0.887634949,0.802070596,0.884165219,0.87486766,0.838857736,0.857519232, '+'
IVH_3d-[I_II-III-IV]up--(App_Sorl1.csv),0.814776582,0.723816629,0.757274163,0.849446344,0.703695506,0.769801845, '+'
IVH_3d-[I_II-III-IV]up--(App_Tnfrsf21.csv),0.724575545,0.703418589,0.716187807,0.76225438,0.687962384,0.718879741, '+'
IVH_3d-[I_II-III-IV]up--(App_Trpc6.csv),0.977414627,0.932050596,0.959568701,1.037302372,0.924390274,0.966145314, '+'
IVH_3d-[I_II-III-IV]up--(App_Tspan12.csv),0.820966214,0.858833062,0.85697263,0.920210742,0.816314942,0.854659518, '+'
